Generation, ID,x1, y1, z1, power1, velocity1, x2, y2, z2, power2, velocity2, x3, y3, z3, power3, velocity3, fitness(distance from start), parent1, parent2
0.000000000000000000e+00,2.450000000000000000e+02,5.874352897618519975e-01,5.428560431409303888e-01,8.342995640947301617e-01,-5.528083229610947669e+00,9.816112697203056570e+00,4.060772373449081929e-01,8.849394133538195373e-01,4.215799559752880787e-01,7.822862273961421309e+00,7.638505545431499399e+00,8.964823980596501318e-01,4.368982823676994531e-01,6.769271422006604144e-01,9.386050712381980077e+00,7.615489220850744090e+00,1.817412437045567986e+00,nan,nan
0.000000000000000000e+00,2.460000000000000000e+02,7.146993190676312890e-01,7.478743444923086070e-01,6.272705323838866365e-01,2.551161601681268820e+00,7.921571559615500746e+00,8.505790052454944572e-01,4.227231901707289574e-01,5.404815947961152389e-01,9.008229681531174649e+00,9.451318919454582357e+00,6.278283763928564909e-01,7.100662989007684445e-01,5.386905914905664172e-01,-6.237576805524773782e+00,7.318492024699910559e+00,1.550717789871045582e+00,nan,nan
0.000000000000000000e+00,2.470000000000000000e+02,5.766761140130264307e-01,6.918280559254360584e-01,4.388673184824924411e-01,9.487896153323330140e+00,9.931053722398015537e+00,7.490808570098725916e-01,6.680481831720601615e-01,5.547638081431638390e-01,6.275900394138973937e+00,8.423655862769397373e+00,4.813084696724456713e-01,8.554635922469212561e-01,8.112686214615845159e-01,8.995998265838480279e+00,8.628597541941800841e+00,1.482751916216557442e+00,nan,nan
0.000000000000000000e+00,2.480000000000000000e+02,7.067075979678949516e-01,6.091215181453094596e-01,8.663642416770066523e-01,7.321277790008167585e+00,5.226093350530947035e+00,4.131834872486260246e-01,5.882316834390248772e-01,8.052766653909164685e-01,9.745522586298889678e+00,5.752084455517641359e+00,6.970653576760675874e-01,5.904454283155107230e-01,8.849571989073016232e-01,6.842378462714173715e+00,9.191643523555690365e+00,1.465021317685753166e+00,nan,nan
0.000000000000000000e+00,2.490000000000000000e+02,6.343465798974852188e-01,6.074097511688325568e-01,5.367035359653531401e-01,-8.872490066981457701e+00,9.323611881275265745e+00,8.064505045650387505e-01,8.998588366430653185e-01,8.983184185369527119e-01,1.108634112052548915e+00,8.844937075902553403e+00,8.723828649412139757e-01,8.248236953387058090e-01,5.236740508715989062e-01,-9.891172937981296265e-01,5.645797075757474914e+00,1.412093309957283438e+00,nan,nan
0.000000000000000000e+00,2.500000000000000000e+02,8.770255136293612086e-01,7.030873172254400449e-01,5.143214027517313269e-01,3.434013688117134588e+00,8.090641202289479139e+00,5.790813590164203273e-01,4.567787960998145325e-01,7.357865977963997661e-01,4.061540180758660412e-01,8.861591958678197045e+00,6.600817505559967158e-01,8.260907501592700264e-01,6.759534193872427377e-01,1.218759430707725411e+00,9.383268013291726106e+00,1.359201225679566694e+00,nan,nan
0.000000000000000000e+00,2.510000000000000000e+02,6.017414331061985422e-01,4.670076142253203888e-01,4.143913381566695087e-01,5.102745113472380467e+00,8.101547756767324415e+00,7.520398840496118620e-01,5.064820807544554437e-01,4.681857377933849040e-01,-9.709106686642360984e+00,6.752937794032984442e+00,6.949588434273166193e-01,5.961220225498662373e-01,6.187374610118645535e-01,8.083173889874968765e+00,6.741277335116501845e+00,1.353488826717138993e+00,nan,nan
0.000000000000000000e+00,2.520000000000000000e+02,6.569947445799053654e-01,7.918265063705716145e-01,5.982713911606351020e-01,2.441734004557469806e+00,9.311818543733725306e+00,8.747603118288210799e-01,4.735367404645189904e-01,8.632938125807472218e-01,-1.576741384092361642e-01,6.291221941494791636e+00,6.295678781191307305e-01,8.900162876427385461e-01,6.463090469964347662e-01,-3.424967794249835773e+00,8.167004271583628849e+00,1.323844870503731563e+00,nan,nan
0.000000000000000000e+00,2.530000000000000000e+02,5.200728093890965020e-01,4.379316640543319816e-01,4.644398609553246349e-01,-7.439083220844551647e+00,5.759513467561471423e+00,4.694135863247050899e-01,7.204373724016073233e-01,4.909400421995724351e-01,-3.086654333522735882e+00,9.483942049530059037e+00,6.369808201314361984e-01,7.337788692605136109e-01,4.861599356008149408e-01,-6.154219623826584495e+00,5.204343081332394760e+00,1.263177628206351155e+00,nan,nan
0.000000000000000000e+00,2.540000000000000000e+02,4.844675315360822965e-01,5.392951695159793335e-01,4.885052421383734300e-01,-8.225949324858888190e+00,5.603179355503003833e+00,6.303893840163629081e-01,5.031668592028962772e-01,5.821349305240377525e-01,6.834541709713759516e-02,8.451974143146827601e+00,4.196560699205494904e-01,7.997051994545213427e-01,7.139501947454538477e-01,-8.364819361022561850e+00,9.367893120533885565e+00,1.244491383543524288e+00,nan,nan
0.000000000000000000e+00,2.550000000000000000e+02,8.604362002659066144e-01,4.305389799274318974e-01,5.384388240736018849e-01,6.124025595861226634e+00,8.741298451918291690e+00,4.922605096781886846e-01,5.046746616683551734e-01,5.852360513956910149e-01,-3.095402961795734598e-01,8.091273857651479773e+00,5.844568197848862834e-01,6.312673580665739692e-01,7.737354690668782897e-01,-9.266335942188042907e+00,6.262184721720103653e+00,1.221969025406435705e+00,nan,nan
0.000000000000000000e+00,2.560000000000000000e+02,7.566747929422762420e-01,8.476034188435996874e-01,6.558387210578331405e-01,6.422697053063131101e-01,5.535860056698879816e+00,6.237061834117273440e-01,6.663086332275116597e-01,5.212352518173648530e-01,-4.615135381012381188e+00,6.886420815523113248e+00,4.100355988888632064e-01,5.610395827915891642e-01,5.057240034982724008e-01,-3.450052956441707064e+00,5.598810659096256082e+00,1.128112786373017595e+00,nan,nan
0.000000000000000000e+00,2.570000000000000000e+02,8.452636403699474998e-01,6.967962267770243523e-01,7.395511595722448206e-01,5.783424772146766202e+00,7.492210994645286171e+00,4.434601440437118680e-01,6.685532709092738557e-01,6.934205590104396411e-01,4.908789483686599731e+00,7.158297731148397069e+00,4.637901513977819024e-01,5.418879528993623129e-01,5.815411481993175702e-01,2.918344826632024436e+00,7.853891523344559644e+00,1.089227119660356458e+00,nan,nan
0.000000000000000000e+00,2.580000000000000000e+02,5.780483629489231445e-01,8.932576243964898133e-01,7.028874096784436531e-01,-5.255464165280110400e+00,5.508912363102018261e+00,4.764295695921660356e-01,5.229788641922541448e-01,4.803406866297778577e-01,-6.268659518973884737e+00,6.425475843469235393e+00,4.866867976473774338e-01,8.483827123132126058e-01,4.401168728308211264e-01,4.902277914050934271e-01,7.051984134948307670e+00,1.081642632301060392e+00,nan,nan
0.000000000000000000e+00,2.590000000000000000e+02,8.911893084543032195e-01,4.560194510840261950e-01,5.989277995228707852e-01,9.389408665507376739e+00,9.327535629469901224e+00,8.085360354746400358e-01,5.289514135224699931e-01,4.854437936950329324e-01,3.372864398488619742e+00,9.646879945637929055e+00,6.783814465069648580e-01,6.858063447349499464e-01,5.399895468301421086e-01,5.389858663838738018e+00,5.935218742787617074e+00,9.259633448586759297e-01,nan,nan
0.000000000000000000e+00,2.600000000000000000e+02,5.618396182021219154e-01,6.127182193082083561e-01,6.538051893422275329e-01,-5.151805351698395263e+00,5.574184123696017679e+00,7.053100212208163189e-01,5.443152766201279080e-01,6.906191107113062166e-01,-6.912745694515953332e+00,7.405700509274087295e+00,6.662947162757929531e-01,4.259117684112134761e-01,5.683021390969602571e-01,-7.311706461220515152e+00,5.316874852363838500e+00,8.505098183969842518e-01,nan,nan
0.000000000000000000e+00,2.610000000000000000e+02,8.949801161949726414e-01,5.611769224873615070e-01,8.049372229273175083e-01,-4.907186904724722964e+00,8.407513611119647123e+00,7.801139299448432984e-01,6.978193703039221596e-01,6.357880942750792075e-01,-1.763181717054629338e+00,6.744341332714975934e+00,8.647645721239130001e-01,8.153097038938645902e-01,8.825134553332563137e-01,-7.514055530289105889e+00,8.654337376018220951e+00,7.397913885664273437e-01,nan,nan
0.000000000000000000e+00,2.620000000000000000e+02,8.691702284105189413e-01,4.906165330828300974e-01,4.332481336833887697e-01,4.822412985801181051e+00,7.872365565899559492e+00,8.209143883791361063e-01,4.698861883131447703e-01,7.976336559299450624e-01,-5.967453599045109414e+00,5.818279714328522090e+00,4.821328989654964925e-01,8.072873601156911327e-01,7.325986103481001432e-01,4.613084953823864964e-01,6.794152420617512789e+00,7.184479945711009785e-01,nan,nan
0.000000000000000000e+00,2.630000000000000000e+02,8.386002704065541602e-01,5.962225537113177154e-01,8.082997197357886243e-01,-1.217301828595631630e+00,6.884722147124538338e+00,6.313398928348032957e-01,5.506889370820711171e-01,7.738046900881255796e-01,5.440780184958304844e-02,6.161063475734086303e+00,8.497872866372842005e-01,5.919456106866056722e-01,6.717764305569943195e-01,8.129442219290938354e+00,8.121189979569960471e+00,6.714149804435048940e-01,nan,nan
0.000000000000000000e+00,2.640000000000000000e+02,4.584490203541820574e-01,8.699160618067376394e-01,7.138540265357089520e-01,-3.301887706858277483e+00,5.696360363316935960e+00,7.970125946351480639e-01,7.100363779642567819e-01,6.667305459881607277e-01,7.877851661019152907e+00,8.942986056122652627e+00,4.758374398663756111e-01,5.558610338977740817e-01,5.242445699072328935e-01,4.878925851453539408e+00,5.167662173678897020e+00,6.133135552480548647e-01,nan,nan
0.000000000000000000e+00,2.650000000000000000e+02,6.849448424356583409e-01,7.812293428703452891e-01,8.383828183808748058e-01,-3.158365025681850735e+00,9.106286523360065388e+00,4.553158684776036358e-01,8.232261458672591736e-01,4.637443311659912304e-01,-2.054254188792654645e+00,8.986476828897767888e+00,4.749587136743869120e-01,5.146256976163208208e-01,7.611262841965331649e-01,4.400730730921487144e+00,8.205738164426486847e+00,6.117894705951673062e-01,nan,nan
0.000000000000000000e+00,2.660000000000000000e+02,7.469742222335500337e-01,6.713622216737981097e-01,5.258995294534763998e-01,-3.086080129921611181e+00,5.907988584007128452e+00,8.542252806668142462e-01,6.916958973830602542e-01,6.004257083818199670e-01,-7.598839271173463139e-01,9.736416698059077390e+00,4.766757015580401213e-01,6.931149160083986960e-01,6.529443394422329572e-01,2.229084708692956607e+00,5.090550919104202876e+00,5.836986576797948967e-01,nan,nan
0.000000000000000000e+00,2.670000000000000000e+02,8.360619544720757634e-01,8.660591412418061630e-01,6.825665917946044381e-01,3.933016477537845113e+00,9.612496905886478871e+00,7.536193171566993865e-01,4.762695214571306956e-01,6.881441800834066091e-01,2.134300927657117875e+00,7.120653356511930099e+00,7.682221178123613825e-01,8.671835073845074460e-01,8.627842564533881875e-01,-9.832125719173578915e-01,5.566190229203776596e+00,5.790959742075451055e-01,nan,nan
0.000000000000000000e+00,2.680000000000000000e+02,8.924205994811673648e-01,8.194490432229670773e-01,4.623313406016334448e-01,8.416837652347446408e+00,9.349481810310642516e+00,6.594190285630361359e-01,6.956377178724646448e-01,5.995013519350651521e-01,-8.904767223559373335e+00,6.675986208229504726e+00,8.014267242990057438e-01,4.023160115023014516e-01,5.667495858455721125e-01,-2.036626128181133755e+00,7.686978014689614724e+00,5.292893477609448283e-01,nan,nan
0.000000000000000000e+00,2.690000000000000000e+02,8.599278082063802620e-01,5.731729971829806480e-01,5.734766009481138127e-01,4.750024962194967060e+00,7.261089704449036120e+00,5.123024114699910037e-01,6.262197580663466656e-01,4.704285101898999510e-01,-6.472260269875533822e+00,7.491838863697398487e+00,6.094627247522739211e-01,8.574229505340500435e-01,5.811969495583165779e-01,1.611767005560869048e+00,8.161321439597651661e+00,5.072328014601377166e-01,nan,nan
0.000000000000000000e+00,2.700000000000000000e+02,4.065472282941668403e-01,7.317686860083553180e-01,4.890179834348757359e-01,9.221406349389102530e+00,5.743313638765564555e+00,6.073120618635119428e-01,4.426748340393219516e-01,8.984371259229737561e-01,4.390020662485172309e-02,7.976925086600219039e+00,4.335382386942137622e-01,7.749802351995889182e-01,5.049527965477929037e-01,7.961085788814274977e+00,6.025698202410035620e+00,4.774943777415390778e-01,nan,nan
0.000000000000000000e+00,2.710000000000000000e+02,4.953438603318333078e-01,4.182748339240474622e-01,6.360334725549996460e-01,1.296822665252328477e+00,5.328543197141762278e+00,7.877638083475053676e-01,6.266444173740137735e-01,6.621951346637899860e-01,-1.184745061235437102e+00,7.003815304376630024e+00,6.798201656541089655e-01,4.776201229653562752e-01,4.909640652476355838e-01,7.235712420270346001e+00,9.730577310668163449e+00,4.646451606975675608e-01,nan,nan
0.000000000000000000e+00,2.720000000000000000e+02,5.866546581398764948e-01,5.353723365717768523e-01,7.219997716195079018e-01,-1.825316578038072013e+00,5.126931778301724307e+00,4.780762986830952022e-01,7.579861144236987869e-01,7.294619709550757003e-01,-9.458080149930330194e+00,6.109860809664747094e+00,5.155373982940356647e-01,7.359463717993641740e-01,4.098552688771820995e-01,-7.917828360308522662e+00,8.999580426865946947e+00,4.531981042219405675e-01,nan,nan
0.000000000000000000e+00,2.730000000000000000e+02,4.892723310271668291e-01,7.263730539259374286e-01,5.190913905233632830e-01,-8.011172144813096807e+00,6.215860954997269872e+00,7.611334659278296000e-01,8.278482340531428951e-01,8.151099322834958194e-01,-2.056329407630903550e+00,8.340425682853229716e+00,5.024921477079105081e-01,5.465738651305066531e-01,8.481679092605598491e-01,-9.739961529785279737e+00,5.427542654272340172e+00,4.494171325699176101e-01,nan,nan
0.000000000000000000e+00,2.740000000000000000e+02,5.039431275730137383e-01,4.132661019369098798e-01,4.907177175448986794e-01,1.660831219393843483e+00,7.107122752962489187e+00,8.463358555384874471e-01,8.087217808692204191e-01,5.709086758489380076e-01,-4.811531331374149900e+00,6.898462040836334630e+00,6.951474712574039483e-01,5.340318204114381517e-01,7.120744539245670301e-01,-1.811766956175191456e+00,7.760235904259901396e+00,3.467920319257089545e-01,nan,nan
